id;name;nit;email
1;juan;8996668;juan@hotmail.com
2;juan;8996668;juan@hotmail.com
3;juan;8996668;juan@hotmail.com
4;juan;8996668;juan@hotmail.com
5;juan;8996668;juan@hotmail.com
6;juan;8996668;juan@hotmail.com
7;juan;8996668;juan@hotmail.com
8;juan;8996668;juan@hotmail.com
9;juan;8996668;juan@hotmail.com
10;juan;8996668;juan@hotmail.com
11;juan;8996668;juan@hotmail.com
12;juan;8996668;juan@hotmail.com
13;juan;8996668;juan@hotmail.com
14;juan;8996668;juan@hotmail.com
15;juan;8996668;juan@hotmail.com
16;juan;8996668;juan@hotmail.com
17;juan;8996668;juan@hotmail.com
18;juan;8996668;juan@hotmail.com
19;juan;8996668;juan@hotmail.com
20;juan;8996668;juan@hotmail.com
21;juan;8996668;juan@hotmail.com
22;juan;8996668;juan@hotmail.com
23;juan;8996668;juan@hotmail.com
24;juan;8996668;juan@hotmail.com
25;juan;8996668;juan@hotmail.com
26;juan;8996668;juan@hotmail.com
27;juan;8996668;juan@hotmail.com
28;juan;8996668;juan@hotmail.com
29;juan;8996668;juan@hotmail.com
30;juan;8996668;juan@hotmail.com



